SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
020265,LTM_ALTM,2007-11-08 00:00:00,EPI,Regular,Lake,0.0,1425,20.23,75.848,,9.588,16.712,3.131,0.7896,1.28,19.752,26.535,-0.1108,17.1948,,6.09,,5.922,,,,7.41,74.256,
04253630,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Stream,0.0,1010,9.24,66.866,,10.152,19.463,6.658,3.84272,9.728,20.575,23.49,0.6094,5.0715,,5.12,,5.115,,,,4.27,94.432,
020188,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.5,1100,-6.22,26.447,,5.076,11.209,1.225,0.7896,6.656,13.991,3.045,-0.3878,0.2576,,4.98,,5.003,,,,0.0,56.368,
1A1-029,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.0,1025,135.97,144.71,,10.716,27.411,5.279,1.73712,8.192,51.026,42.195,5.5954,1.9642,,7.2,,6.853,,,,1.98,75.92,
1A1-107,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.5,0954,-46.58,32.435,,11.562,26.392,16.95,1.21072,5.888,27.982,10.005,4.709,0.644,,4.32,,4.318,,,,1.44,45.76,
1A1-017,LTM_ALTM,2007-11-07 00:00:00,IN,Regular,Lake,0.0,1100,3.96,65.369,,10.152,20.482,6.691,3.57952,10.752,19.752,22.62,0.1662,4.6046,,4.97,,4.992,,,,3.53,99.008,
04253660,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Stream,0.0,1135,37.71,123.752,,10.716,24.558,5.443,4.84288,7.424,38.681,23.925,1.9944,11.2056,,6.38,,6.111,,,,6.55,119.808,
020197,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.5,1132,-6.49,18.463,,6.204,10.801,3.872,0.63168,3.84,8.23,3.915,2.3822,0.7889,,4.85,,4.833,,,,0.17,35.152,
020138,LTM_ALTM,2007-11-07 00:00:00,EPI,Regular,Lake,0.0,0922,-9.46,30.938,,7.05,17.934,12.365,1.10544,11.008,10.699,6.09,22.9356,0.7889,,4.68,,4.638,,,,1.82,34.528,
1A1-087,LTM_ALTM,2007-11-07 00:00:00,IN,Regular,Lake,0.0,1220,126.68,187.125,,7.614,27.105,4.543,2.84256,7.936,34.566,13.485,0.7756,9.7566,,7.25,,6.896,,,,2.58,78.832,
060182,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.0,0842,127.22,192.115,,10.434,29.653,3.502,2.57936,5.888,26.336,27.84,0.3324,21.574,,7.19,,6.89,,,,4.98,92.768,
060315A,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Stream,0.0,1340,24.25,89.82,,14.1,22.418,8.962,3.73744,9.984,35.389,29.58,0.3324,5.1198,,5.56,,5.389,,,,6.08,105.872,
070859,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.5,1126,32.07,63.373,,7.614,14.775,2.912,2.1056,5.632,27.159,24.36,0.554,3.8801,,6.48,,6.24,,,,1.88,63.024,
1A1-059,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.0,1400,45.83,107.784,,10.716,23.946,9.153,4.00064,10.752,46.088,35.67,0.3878,16.1483,,6.41,,5.889,,,,7.12,90.064,
1A2-076,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.5,1055,5.86,33.433,,5.922,8.193,4.203,0.47376,5.632,7.407,3.915,0.0,0.4347,,5.52,,5.273,,,,0.26,27.248,
1A2-066,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.0,1250,11.38,62.375,,9.024,16.304,2.437,1.78976,5.376,25.513,20.01,2.0498,14.2968,,5.72,,5.64,,,,2.99,81.12,
040826,LTM_ALTM,2007-11-06 00:00:00,EPI,Regular,Lake,0.0,1240,35.89,86.826,,18.612,18.75,3.413,2.47408,6.4,25.513,30.015,0.1662,11.8657,,6.54,,6.35,,,,2.23,71.968,
04253712,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Stream,0.0,1145,110.49,141.217,,12.126,28.578,4.196,6.3168,11.52,46.088,46.11,0.2216,13.5401,,7.1,,6.663,,,,6.45,96.512,
1A1-111,LTM_ALTM,2007-11-05 00:00:00,IN,Regular,Lake,0.0,1115,-14.26,39.421,,10.434,24.306,10.346,2.00032,6.912,14.814,19.575,11.1908,2.1574,,4.59,,4.606,,,,3.82,98.8,
1A1-103,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Lake,0.0,1125,17.36,72.854,,11.562,17.492,4.094,3.21104,8.704,21.398,26.1,1.2188,13.7333,,6.02,,5.774,,,,3.32,75.92,
04253639,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Stream,0.0,1146,1.63,70.359,,10.434,22.272,9.806,4.52704,7.936,27.159,28.71,0.831,2.8658,,4.86,,4.88,,,,2.47,97.76,
04253635,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Stream,0.0,1050,-20.97,39.92,,10.434,25.12,6.246,3.10576,5.888,14.814,21.315,0.1662,12.6385,,4.56,,4.568,,,,4.49,104.832,
1A1-105,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Lake,0.0,1224,65.58,106.786,,9.024,22.882,3.578,4.7376,10.752,36.212,34.8,0.3878,11.8657,,6.97,,6.552,,,,4.41,89.44,
1A1-112,LTM_ALTM,2007-11-05 00:00:00,IN,Regular,Lake,0.0,1200,13.17,71.357,,10.434,19.933,7.887,4.89552,8.192,27.159,29.58,2.1052,3.3166,,5.29,,5.229,,,,2.14,95.472,
04253740,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Stream,0.0,1040,52.58,79.84,,9.024,18.611,3.433,4.05328,9.984,32.92,36.105,0.4986,2.6082,,6.87,,6.447,,,,1.87,75.296,
1A1-109,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Lake,0.0,1100,101.33,126.746,,14.664,26.137,4.277,6.47472,12.288,43.619,41.76,0.9972,6.601,,6.98,,6.58,,,,5.48,87.776,
1A1-106,LTM_ALTM,2007-11-05 00:00:00,EPI,Regular,Lake,0.0,1025,26.39,77.345,,10.998,17.797,4.112,3.36896,8.704,22.221,26.535,1.1634,14.3773,,6.11,,5.853,,,,3.38,76.96,
SK01,VTSSS,2007-11-04 00:00:00,Stream,Regular,Stream,,,130.96,133.87,,17.25,29.9,,,19.67,119.13,28.41,2.21,11.08,,,,6.26,,,,100.72,132.15,9.0
BNR,LTM_PA,2007-11-04 00:00:00,Stream,Regular,Stream,,,18.7,81.337,,126.618,29.83,1.48,,23.296,50.203,77.865,0.1939,9.1931,,,,6.29,,,,4.58,84.24,
RBS,LTM_PA,2007-11-04 00:00:00,Stream,Regular,Stream,,,101.0,172.155,,47.094,41.47,1.49,,23.552,103.698,40.89,0.1939,4.0733,,,,6.57,,,,4.61,214.24,
STN,LTM_PA,2007-11-04 00:00:00,Stream,Regular,Stream,,,18.9,83.333,,31.866,23.62,1.56,,15.616,50.203,32.19,0.1939,3.2844,,,,6.04,,,,5.15,138.112,
WWW,LTM_PA,2007-11-03 00:00:00,Stream,Regular,Stream,,,100.0,192.115,,43.146,38.04,1.24,,16.896,89.707,23.925,0.1939,3.2844,,,,6.67,,,,5.13,197.184,
LNN,LTM_PA,2007-11-03 00:00:00,Stream,Regular,Stream,,,148.0,285.927,,41.454,43.51,1.08,,12.8,67.486,38.28,0.1939,5.9892,,,,6.61,,,,3.99,210.08,
040704,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1139,26.13,48.902,,7.332,13.628,3.727,2.47408,7.68,17.283,27.405,4.8198,1.771,,6.3,,5.968,,,,1.41,59.488,
040850,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1202,23.12,62.874,,7.332,14.238,3.413,2.1056,5.632,27.159,16.095,0.277,1.6422,,6.28,,6.032,,,,1.57,64.272,
1A3-001,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1025,90.72,116.267,,7.896,24.001,5.263,3.52688,9.472,51.849,35.235,0.9418,1.3846,,6.9,,6.547,,,,2.38,86.32,
020058,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1152,64.3,102.295,,9.024,20.848,9.611,3.47424,8.192,46.911,30.015,0.1108,0.3381,,6.68,,6.032,,,,4.77,69.472,
040874,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1208,9.13,48.403,,7.332,13.729,2.44,2.31616,5.12,20.575,18.705,-0.1662,7.7602,,5.62,,5.568,,,,2.84,69.264,
030255,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Stream,0.0,1121,231.77,182.135,,8.46,35.798,3.835,2.42144,9.472,95.468,47.85,0.3324,0.4025,,7.48,,7.058,,,,7.9,81.536,
040210,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1110,1.52,41.916,,7.332,16.272,2.822,2.8952,8.448,12.345,17.835,0.9418,10.787,,4.98,,5.012,,,,1.0,80.288,
020059,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1212,64.71,99.301,,21.432,20.747,7.69,3.10576,7.68,46.088,34.8,0.0,0.3381,,6.72,,6.235,,,,1.22,63.024,
040576,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1101,42.37,99.8,,7.332,18.204,4.351,1.47392,6.4,18.929,18.705,2.2714,6.4078,,6.62,,6.29,,,,1.56,74.672,
1A3-048,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1144,28.97,73.353,,12.126,19.526,6.061,4.57968,11.776,26.336,35.67,3.2686,10.8514,,6.01,,5.774,,,,6.03,82.368,
040852,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1156,1.95,56.387,,10.434,18.916,7.586,2.26352,7.424,23.867,17.4,1.8836,5.0554,,4.93,,4.914,,,,3.9,79.664,
040186,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1120,-8.33,26.946,,8.46,19.526,4.482,1.63184,6.912,10.699,16.095,2.216,8.6618,,4.66,,4.691,,,,1.46,85.696,
040707,LTM_ALTM,2007-11-01 00:00:00,EPI,Regular,Lake,0.5,1135,71.94,86.327,,8.46,19.933,4.397,4.84288,9.984,35.389,40.455,-0.1108,0.6118,,6.84,,6.447,,,,5.09,71.552,
