SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
M002,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,0.27,25.45,,18.57,13.13,,,12.81,22.8,8.39,,0.62,,,,5.04,,,,53.9,45.94,
VT49,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,48.24,68.66,,17.65,20.12,,,14.89,60.33,20.48,,0.62,,,,6.27,,,,95.0,99.76,10.0
VT80,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,24.31,42.07,,17.25,17.49,,,13.73,62.63,19.92,,0.62,,,,6.04,,,,95.1,96.89,10.0
VT23,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,161.06,74.5,,27.61,22.34,,,17.27,50.61,80.73,,0.7,,,,6.89,,,,215.64,26.91,13.0
VT77,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,70.97,30.49,,19.12,17.22,,,31.93,53.25,39.05,,0.65,,,,6.31,,,,107.72,62.05,13.0
VT50,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,-12.36,29.94,,19.95,25.02,,,16.03,55.64,15.48,,0.62,,,,4.75,,,,85.92,137.25,11.0
VT48,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,91.87,44.16,,19.41,22.98,,,46.19,67.65,44.75,,0.67,,,,6.66,,,,143.92,79.13,15.0
VT22,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,152.47,75.65,,26.57,23.41,,,15.11,58.6,75.42,,0.7,,,,6.79,,,,203.47,40.52,13.0
VT76,VTSSS,2000-10-26 00:00:00,Stream,Regular,Stream,,,25.52,13.77,,19.58,13.09,,,28.87,31.36,22.53,,0.65,,,,5.88,,,,106.46,52.2,13.0
VT54,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,107.93,97.51,,18.83,30.03,,,25.2,96.46,40.66,,7.36,,,,6.37,,,,96.98,119.81,11.0
PINE,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,286.3,154.59,,29.39,35.9,0.49,,5.74,126.25,81.16,-0.06,0.7,,,,7.03,,,,220.05,53.14,13.0
VT65,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,88.24,49.6,,18.26,12.61,,,7.43,17.53,47.54,,0.7,,,,6.63,,,,123.07,16.35,12.0
VT64,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,82.68,42.71,,19.26,11.45,,,8.96,16.3,39.49,,0.7,,,,6.59,,,,106.94,6.18,12.0
VT40,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,31.17,13.92,,15.9,8.85,,,19.14,17.45,16.52,,0.7,,,,5.89,,,,112.3,16.57,12.0
NFDR,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,97.83,87.13,,30.37,26.16,0.59,,10.1,51.11,78.77,,3.79,,,,6.43,,,,178.32,91.25,12.0
1E2-060,LTM_ME,2000-10-25 00:00:00,EPI,Regular,Lake,,,162.0,167.2,,9.8,20.0,10.2,,3.6,53.5,36.1,,0.2,430.0,7.39,,6.86,6.67,14.0,,0.79,34.8,
VT16,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,33.09,60.28,,19.35,16.34,,,14.37,38.02,14.91,,0.63,,,,6.07,,,,80.61,74.58,13.0
VT56,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,8.65,21.41,,14.49,15.01,,,20.22,44.61,15.22,,0.7,,,,5.71,,,,80.73,79.94,12.0
VT41,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,38.85,50.15,,16.47,14.04,,,16.85,30.53,16.7,,0.7,,,,6.38,,,,81.14,56.82,11.0
VT37,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,43.09,39.02,,14.75,15.78,,,16.9,50.86,23.31,,0.7,,,,6.25,,,,80.78,72.27,11.0
VT10,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,47.33,39.07,,15.12,13.49,,,13.68,39.01,17.91,,0.7,,,,6.15,,,,84.26,47.42,12.0
VT11,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,47.33,34.23,,13.11,11.21,,,13.71,35.39,12.22,,0.7,,,,6.28,,,,84.65,34.22,12.0
VT24,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,70.06,83.38,,12.25,16.19,,,12.2,32.43,13.22,,0.63,,,,6.34,,,,110.14,58.04,12.0
VT57,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,52.18,54.39,,16.47,21.4,,,23.12,73.41,25.7,,0.84,,,,6.33,,,,87.92,105.63,12.0
VT12,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,219.84,138.82,,15.38,28.5,,,16.74,112.75,13.13,,0.7,,,,6.76,,,,72.49,38.55,14.0
VT46,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,97.03,63.82,,23.92,15.96,,,6.19,22.63,60.11,,0.7,,,,6.59,,,,138.18,27.71,11.0
VT14,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,45.72,36.08,,15.09,12.62,,,15.87,38.27,14.52,,0.65,,,,6.31,,,,86.85,40.05,14.0
VT15,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,37.33,32.14,,13.25,10.79,,,12.02,29.13,13.43,,0.63,,,,5.95,,,,101.01,29.49,14.0
ME-2068,LTM_ME,2000-10-25 00:00:00,EPI,Regular,Lake,,,196.0,152.7,,16.5,28.0,2.6,,23.0,37.0,89.6,,0.0,150.0,7.6,,7.17,6.87,5.7,,8.21,59.1,
VT39,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,4.41,8.78,,15.84,10.02,,,15.55,16.46,15.74,,0.7,,,,5.26,,,,87.52,40.26,12.0
VT25,VTSSS,2000-10-25 00:00:00,Stream,Regular,Stream,,,17.94,22.56,,15.87,10.03,,,10.52,25.6,12.95,,0.62,,,,5.94,,,,80.58,35.31,12.0
01434025,LTM_CAT,2000-10-24 08:30:00,Stream,Regular,Stream,,,45.0241050720215,115.839996337891,,12.6692476272583,19.8299999237061,1.45479999939009,,5.23999977111816,44.7799987792969,14.5,0.384000986814499,2.95508813858032,,,,6.46992635726929,,,,39.9799995422363,102.250221252441,6.5
1C1-107,LTM_VT,2000-10-24 00:00:00,EPI,Regular,Lake,1.0,,78.6,143.2,,14.1,24.6,6.3,,5.2,28.2,29.8,,0.653921568627451,,,6.67,,,,3.5,2.41,78.0,8.4
ME-4575,LTM_ME,2000-10-23 00:00:00,EPI,Regular,Lake,,,33.2,64.9,,71.3,20.0,4.1,,5.4,29.6,100.9,,0.0,180.0,6.62,,6.3,6.14,5.2,,3.3,66.5,
ME-9999,LTM_ME,2000-10-23 00:00:00,EPI,Regular,Lake,,,33.9,49.4,,46.4,15.0,3.1,,6.1,21.4,68.7,,0.2,190.0,6.68,,6.38,6.13,6.2,,0.3,50.7,
ME-4474,LTM_ME,2000-10-18 00:00:00,EPI,Regular,Lake,,,-38.8,12.5,,47.6,24.9,5.4,,5.1,16.5,41.8,,0.2,307.0,4.44,,4.21,4.43,2.7,,0.11,43.4,
1E1-060,LTM_ME,2000-10-18 00:00:00,EPI,Regular,Lake,,,116.0,125.7,,64.0,22.6,5.0,,6.6,37.0,61.3,,0.0,250.0,7.27,,6.88,6.57,8.3,,1.41,37.1,
ME-4778,LTM_ME,2000-10-18 00:00:00,EPI,Regular,Lake,,,-1.7,19.0,,29.9,9.5,2.8,,4.3,13.2,34.4,,0.0,220.0,5.41,,5.2,5.39,7.2,,0.0,34.4,
1C1-095,LTM_VT,2000-10-17 00:00:00,EPI,Regular,Lake,1.0,,23.8,60.9,,12.1,14.7,4.0,,7.6,23.3,37.4,,0.969607843137255,,,5.86,,,,3.2,5.62,77.2,9.3
1C1-089,LTM_VT,2000-10-16 00:00:00,EPI,Regular,Lake,1.0,,11.8,34.8,,7.6,10.6,5.8,,7.2,24.8,21.7,,0.315686274509804,,,5.53,,,,3.0,0.82,49.5,9.7
1C1-101,LTM_VT,2000-10-16 00:00:00,EPI,Regular,Lake,1.0,,-4.0,32.0,,9.3,13.8,6.2,,8.6,18.7,21.7,,0.653921568627451,,,4.93,,,,1.9,2.59,60.3,9.1
01364959,LTM_CAT,2000-10-12 13:35:00,Stream,Regular,Stream,,,17.6016578674316,69.5599975585938,,11.874119758606,18.1499996185303,1.10700003894052,,7.0,42.0200004577637,18.0,,2.86017465591431,,,,5.98268747329712,,,,44.0400009155273,106.066284179688,8.7
0143400680,LTM_CAT,2000-10-12 11:10:00,Stream,Regular,Stream,,,2.51350712776184,47.560001373291,,10.7518033981323,17.4899997711182,1.56290007130103,,5.21999979019165,39.6199989318848,14.6999998092651,,0.0,,,,5.19904518127441,,,,39.8699989318848,99.257682800293,7.5
