SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
VT40,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,14.51,12.58,,15.7,11.15,,,18.24,25.18,20.61,,5.5,,,,5.8,,,,70.57,49.2,6.0
VT66,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,111.37,102.99,,28.9,27.01,,,3.24,82.22,51.06,,38.86,,,,6.86,,,,142.7,55.26,2.0
VT02,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,27.13,54.59,,11.09,16.48,,,10.78,24.44,39.49,,49.06,,,,6.23,,,,111.94,46.58,2.0
VT49,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,5.32,47.66,,20.01,22.11,,,14.84,69.05,19.26,,5.04,,,,5.38,,,,81.31,135.68,3.0
VT06,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,46.42,40.82,,10.52,15.23,,,13.1,47.08,23.92,,18.67,,,,6.45,,,,87.12,53.14,3.0
VT08,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,12.89,70.71,,12.91,16.48,,,6.64,31.11,15.17,,19.27,,,,5.69,,,,57.82,81.48,4.0
VT44,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,50.77,45.76,,20.07,13.34,,,5.53,18.44,45.1,,6.23,,,,6.44,,,,118.71,35.51,
VT64,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,48.95,35.78,,17.97,9.92,,,4.03,13.42,33.44,,3.05,,,,6.51,,,,96.27,10.29,4.0
VT78,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,-2.26,23.15,,9.74,11.82,,,5.09,22.3,9.26,,6.63,,,,5.04,,,,52.39,56.72,4.0
VT10,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,20.47,30.49,,23.69,11.75,,,9.52,29.3,19.13,,0.94,,,,6.04,,,,62.5,49.9,2.5
VT09,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,10.37,51.8,,12.76,14.29,,,7.06,30.04,13.35,,12.81,,,,5.57,,,,58.97,71.63,6.0
VT65,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,52.38,46.41,,17.71,12.5,,,4.87,15.8,40.49,,12.72,,,,6.54,,,,110.67,21.86,5.0
VT46,VTSSS,1993-01-25 00:00:00,Stream,Regular,Stream,,,60.87,56.79,,23.95,14.7,,,3.37,19.83,49.76,,4.19,,,,6.53,,,,123.92,40.86,5.0
01434025,LTM_CAT,1993-01-21 13:50:00,Stream,Regular,Stream,,,19.4,119.2,,14.96,24.2,0.826567379293778,,4.59,43.96,13.6,0.0,21.48,,,,6.01,,,,44.63,122.72,0.5
0143400680,LTM_CAT,1993-01-21 09:03:00,Stream,Regular,Stream,,,-9.2,64.8,,14.67,22.9,1.1012490992073,,5.93,48.9,13.4,0.0,22.76,,,,4.88,,,,45.76,114.28,2.8
01364959,LTM_CAT,1993-01-20 08:51:00,Stream,Regular,Stream,,,-0.3,80.2,,20.63,22.0,0.609416286331972,,6.46,45.7,14.9,0.0,23.83,,,,5.24,,,,47.35,115.64,0.9
0143400680,LTM_CAT,1993-01-19 15:45:00,Stream,Regular,Stream,,,-8.8,63.8,,19.87,21.6,1.01777564256546,,5.62,48.14,13.2,0.21,22.79,,,,4.93,,,,49.08,112.8,0.9
01434025,LTM_CAT,1993-01-19 08:05:00,Stream,Regular,Stream,,,22.5,126.8,,15.56,24.4,1.08803747297622,,4.77,45.46,13.7,0.18,22.44,,,,5.84,,,,48.35,126.94,0.0
LNN,LTM_PA,1993-01-18 00:00:00,Stream,Regular,Stream,,,1.22,216.067,,29.046,37.8,1.629,,12.2112,67.6506,14.8335,1.3296,27.853,,,,5.51,,,,3.87,214.24,
M004,VTSSS,1993-01-18 00:00:00,Stream,Regular,Stream,,,25.42,106.19,,13.02,19.38,,,5.9,26.42,23.83,,2.83,,,,5.62,,,,78.01,92.56,
01434025,LTM_CAT,1993-01-12 13:24:00,Stream,Regular,Stream,,,17.6,110.0,,14.34,23.2,0.966970934422292,,5.01,41.76,11.8,0.65,22.45,,,,5.85,,,,41.27,126.24,1.0
0143400680,LTM_CAT,1993-01-12 10:00:00,Stream,Regular,Stream,,,-8.7,56.8,,13.3,21.1,1.24165265433582,,5.9,46.0,12.0,0.65,22.66,,,,4.84,,,,42.51,116.1,1.3
050215,LTM_ALTM,1993-01-12 00:00:00,EPI,Regular,Lake,0.0,1045,65.91,143.712,,27.354,25.01,4.863,1.63184,3.072,42.796,38.715,1.108,1.1753,,6.67,,5.959,,,,2.92,93.184,
050649,LTM_ALTM,1993-01-12 00:00:00,EPI,Regular,Lake,0.0,1135,-40.86,83.333,,15.228,33.46,16.476,5.0008,8.448,44.442,28.71,2.4376,5.2164,,4.32,,4.344,,,,5.24,127.712,
020059,LTM_ALTM,1993-01-12 00:00:00,EPI,Regular,Lake,0.5,0930,39.8,135.229,,30.174,28.51,10.052,3.6848,16.128,59.256,56.985,5.4292,3.3649,,6.24,,6.04,,,,1.48,118.144,
070728,LTM_ALTM,1993-01-12 00:00:00,EPI,Regular,Stream,0.0,1140,-7.49,86.826,,10.152,25.98,3.804,2.8952,5.632,30.451,24.795,-0.1662,23.0874,,4.86,,4.898,,,,4.78,132.288,
1A2-077,LTM_ALTM,1993-01-11 00:00:00,EPI,Regular,Lake,0.0,1040,124.86,88.822,,9.306,29.77,3.981,0.47376,2.56,38.681,43.065,1.3296,5.1198,,7.22,,6.801,,,,5.44,126.464,
1A1-052,LTM_ALTM,1993-01-11 00:00:00,EPI,Regular,Lake,0.0,1430,77.14,186.626,,11.28,29.67,5.131,4.89552,8.448,55.141,33.93,2.6038,11.7369,,6.89,,6.439,,,,4.29,148.096,
050707,LTM_ALTM,1993-01-11 00:00:00,EPI,Regular,Lake,0.0,1340,-20.15,90.319,,6.486,31.61,6.178,1.21072,2.304,16.46,15.225,3.047,63.4018,,4.51,,4.565,,,,3.59,110.032,
050706,LTM_ALTM,1993-01-11 00:00:00,EPI,Regular,Lake,0.0,1204,-5.06,96.307,,8.742,27.64,4.976,1.21072,4.352,18.929,20.01,2.6038,53.613,,4.73,,4.812,,,,4.12,113.152,
1A3-001,LTM_ALTM,1993-01-11 00:00:00,EPI,Regular,Lake,0.0,1240,45.43,171.656,,13.254,27.45,3.446,4.31648,7.424,43.619,36.975,1.108,26.9675,,6.66,,6.043,,,,6.31,146.432,
020265,LTM_ALTM,1993-01-11 00:00:00,EPI,Regular,Lake,0.0,1450,16.1,118.762,,9.306,21.65,3.057,0.84224,2.56,25.513,27.84,0.7202,30.2519,,5.81,,5.722,,,,6.19,119.6,
