SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
SK01,VTSSS,2010-05-02 00:00:00,Stream,Regular,Stream,,,138.15,123.87,,14.11,31.5,,,21.24,105.29,26.53,0.0,0.0,,,,6.43,,,,90.38,123.01,13.5
VT48,VTSSS,2010-04-30 00:00:00,Stream,Regular,Stream,,,52.4,23.52,,17.65,16.5,,,37.45,39.63,34.0,0.0,0.0,,,,6.51,,,,119.08,62.24,17.0
VT19,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,57.13,67.9,,11.16,20.3,,,17.1,55.67,25.99,0.0,24.31,,,,6.45,,,,79.67,74.42,7.0
VT38,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,75.98,79.23,,16.24,25.0,,,20.84,75.16,36.65,0.0,3.94,,,,6.49,,,,67.61,115.03,11.0
VT26,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,-4.75,47.8,,20.35,17.4,,,11.75,34.49,13.59,0.0,6.98,,,,5.11,,,,63.54,84.43,8.0
M002,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,-15.97,16.67,,9.26,14.3,,,3.95,15.35,8.56,0.0,0.0,,,,4.74,,,,45.16,53.91,7.5
VT18,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,79.5,73.01,,10.35,21.0,,,15.93,59.04,33.94,0.0,11.51,,,,6.49,,,,78.7,74.89,7.0
VT31,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,-4.77,15.72,,14.39,10.5,,,5.76,20.23,12.59,0.0,0.0,,,,5.14,,,,62.76,43.62,8.0
VT28,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,1.9,18.31,,13.49,9.7,,,6.81,21.83,11.35,0.0,0.69,,,,5.43,,,,64.7,43.69,8.0
M003,VTSSS,2010-04-29 00:00:00,Stream,Regular,Stream,,,91.59,83.54,,9.68,18.5,,,5.33,69.12,8.89,0.0,0.0,,,,6.6,,,,24.78,56.49,12.5
ME-9998,LTM_ME,2010-04-29 00:00:00,EPI,Regular,Lake,,,-3.6,43.1,,38.1,19.6,10.9,,7.0,21.6,50.0,,0.1,201.0,4.87,,4.84,4.81,6.707550945,,3.28,31.8,10.0
VT80,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,8.42,38.5,,15.93,16.4,,,12.82,49.46,19.15,0.0,1.53,,,,5.78,,,,81.63,92.75,9.0
VT43,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,53.99,32.91,,18.19,10.6,,,5.31,11.51,40.32,0.0,0.0,,,,5.91,,,,97.98,11.95,9.5
VT04,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,32.17,31.47,,11.12,12.6,,,10.38,15.49,47.24,0.0,5.9,,,,6.2,,,,114.3,43.92,5.0
VT06,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,44.89,35.46,,10.56,15.1,,,14.2,43.97,27.42,0.0,7.25,,,,6.15,,,,86.75,55.2,8.0
VT02,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,24.37,43.15,,10.32,14.7,,,11.93,20.53,41.23,0.0,29.53,,,,6.18,,,,108.3,49.75,7.0
1C1-110,LTM_VT,2010-04-28 00:00:00,EPI,Regular,Lake,1.0,13:30,-3.6,27.45,,11.28,11.0,2.08,,2.3,13.99,13.49,,2.89754901960784,,5.31,5.06,,5.09,,,1.58,38.93,4.4
VT05,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,52.77,24.8,,11.91,13.5,,,20.9,35.26,31.41,0.0,0.62,,,,6.56,,,,105.06,46.37,7.0
VT07,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,-2.07,45.23,,8.98,14.9,,,5.59,22.3,13.02,0.0,4.85,,,,5.02,,,,46.85,61.94,8.0
VT09,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,8.14,43.78,,11.12,13.1,,,7.79,28.15,13.84,0.0,2.53,,,,5.57,,,,59.87,65.68,9.0
1C1-100,LTM_VT,2010-04-28 00:00:00,EPI,Regular,Lake,0.5,11:50,19.6,50.9,,6.49,11.0,6.64,,5.88,18.93,14.36,,0.322450980392157,,5.76,5.75,,5.71,,1.0,1.42,35.81,3.6
VT50,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,-12.0,36.61,,16.99,23.0,,,13.41,48.43,15.57,0.0,0.65,,,,4.78,,,,72.81,120.84,8.0
VT01,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,75.93,78.51,,10.75,19.1,,,8.78,31.24,49.94,0.0,34.23,,,,6.31,,,,117.43,38.35,6.0
VT44,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,70.45,49.29,,21.69,14.8,,,7.03,18.89,53.28,0.0,0.0,,,,6.25,,,,123.49,35.13,10.0
VT63,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,92.44,53.34,,22.59,15.5,,,7.21,20.4,57.97,0.0,0.0,,,,6.3,,,,138.41,24.1,11.0
VT08,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,11.47,63.71,,11.03,14.5,,,6.85,26.01,15.39,0.0,5.3,,,,5.6,,,,53.28,70.74,8.0
VT03,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,60.43,33.83,,9.46,12.8,,,15.95,32.3,28.75,0.0,2.09,,,,6.42,,,,96.07,34.08,7.0
VT49,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,46.64,74.12,,16.69,20.0,,,13.94,52.59,19.71,0.0,0.73,,,,6.56,,,,82.67,96.59,10.0
VT45,VTSSS,2010-04-28 00:00:00,Stream,Regular,Stream,,,51.4,25.03,,21.81,15.9,,,24.39,47.3,33.71,0.0,0.64,,,,6.5,,,,109.72,55.76,11.0
01434025,LTM_CAT,2010-04-27 09:56:00,Stream,Regular,Stream,,,28.0557670593262,85.125,,9.67739963531494,14.6499996185303,1.4250000021992,,4.06236886978149,31.7699356079102,13.4250106811523,1.8639999628067,8.42310047149658,,,,6.21857404708862,,,,27.4196243286133,66.7032012939453,6.8
VT75,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,152.31,104.51,,33.74,26.0,,,5.31,74.48,56.14,0.0,7.38,,,,6.9,,,,130.77,45.34,14.0
VT12,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,114.93,81.86,,14.68,19.4,,,12.93,65.24,13.12,0.0,4.62,,,,6.73,,,,65.93,41.17,11.0
DR01,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,2.64,26.81,,25.03,19.5,0.95,,39.51,42.02,26.3,0.0,0.0,,,,5.44,,,,90.31,100.86,14.0
WOR1,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,33.2,29.65,,20.18,18.4,0.69,,39.77,45.62,21.5,0.0,0.0,,,,6.19,,,,78.96,81.93,13.5
VT58,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,88.26,51.41,,22.14,17.1,,,9.68,31.29,60.29,0.0,0.0,,,,6.43,,,,145.8,34.73,14.0
VT40,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,12.31,14.21,,17.04,11.0,,,20.68,22.32,21.19,0.0,0.0,,,,5.93,,,,77.53,50.66,12.0
VT15,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,33.06,35.27,,13.32,12.8,,,13.84,35.45,16.27,0.0,1.13,,,,6.35,,,,69.35,53.68,11.0
PAIN,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,6.24,28.31,,22.7,19.4,0.73,,44.0,46.69,23.06,0.0,0.0,,,,5.82,,,,82.77,108.24,14.0
VT39,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,-5.91,12.87,,16.16,11.4,,,12.84,15.35,15.75,0.0,0.0,,,,5.06,,,,72.39,47.39,12.0
STAN,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,92.55,60.52,,23.38,18.8,0.69,,10.77,25.19,65.0,0.0,0.0,,,,6.34,,,,136.03,45.04,14.5
VT54,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,70.53,85.58,,16.7,26.9,,,22.58,78.85,36.6,0.0,12.31,,,,6.21,,,,86.96,117.8,10.0
MAD2,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,121.03,60.39,,25.7,24.3,0.56,,27.99,80.45,46.66,0.0,0.0,,,,6.83,,,,134.09,66.49,
VT11,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,26.27,27.14,,13.72,10.5,,,10.77,27.53,12.48,0.56,0.79,,,,6.01,,,,67.45,37.73,10.0
VT56,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,3.27,22.18,,15.28,14.4,,,19.29,41.15,15.08,0.0,8.75,,,,5.53,,,,68.59,72.11,12.0
VT52,VTSSS,2010-04-27 00:00:00,Stream,Regular,Stream,,,34.72,84.46,,19.53,20.5,,,11.96,50.81,18.38,0.0,0.7,,,,6.24,,,,79.62,106.7,11.0
