SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
01434025,LTM_CAT,2002-01-22 09:51:00,Stream,Regular,Stream,,,51.4820022583008,122.620002746582,,15.6058788299561,21.7000007629395,1.31100002401527,,3.75,44.5200004577637,16.7000007629395,2.05208706855774,19.5276927947998,,,,6.17318248748779,,,,36.439998626709,102.890998840332,0.2
040850,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1210,24.49,75.848,,7.614,16.4,3.989,2.42144,5.12,30.451,18.705,0.8864,2.4955,,6.35,,6.079,,,,1.57,78.416,
1A3-001,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1300,125.36,142.714,,8.178,29.3,4.409,4.31648,8.192,61.725,43.065,2.9362,6.0697,,7.24,,6.572,,,,4.12,106.704,
040186,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1120,-16.87,29.441,,7.896,22.6,4.279,1.73712,4.352,9.876,16.965,4.986,10.9802,,4.63,,4.63,,,,2.9,84.24,
040210,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1110,-9.8,52.894,,7.05,20.4,2.228,3.4216,6.656,13.991,18.705,4.0442,16.6796,,4.93,,4.927,,,,2.08,94.848,
040887,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1230,75.73,82.335,,10.152,22.4,5.335,2.57936,7.168,33.743,36.105,14.8472,10.8031,,6.86,,5.642,,,,9.73,67.808,
050669,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1240,10.51,40.918,,5.358,15.0,2.641,1.36864,5.12,13.168,8.265,26.7028,8.0661,,5.89,,5.315,,,,0.65,64.688,
040707,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1135,68.21,91.816,,8.178,21.1,4.333,3.89536,9.984,34.566,42.195,2.2714,4.2665,,6.88,,6.253,,,,4.84,77.168,
1A1-089,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1055,21.46,92.814,,8.46,19.4,2.628,3.6848,7.936,26.336,21.75,2.9916,13.6045,,6.2,,5.905,,,,2.65,94.432,
040704,LTM_ALTM,2002-01-22 00:00:00,EPI,Regular,Lake,0.5,1145,13.93,48.902,,8.742,15.8,3.301,2.78992,6.144,15.637,27.84,11.911,5.0554,,5.74,,5.531,,,,2.43,78.0,
