SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
WWW,LTM_PA,1998-06-02 00:00:00,Stream,Regular,Stream,,,41.51,161.56247251,,33.84,29.8,0.827,,12.8,90.2831,33.582,0.1385,32.2853765612,,,,6.66,,,,4.743,195.3328,
1A1-087,LTM_ALTM,1998-06-02 00:00:00,IN,Regular,Lake,0.0,1305,108.09,183.632,,6.486,30.25,3.001,3.6848,6.4,33.743,12.615,0.8864,26.6133,,7.19,,6.907,,,,3.196,106.288,
1A2-077,LTM_ALTM,1998-06-02 00:00:00,EPI,Regular,Lake,0.0,1000,98.46,130.738,,7.05,24.44,2.95,0.47376,2.048,24.69,33.495,0.1108,1.61,,6.92,,6.963,,,,6.484,94.432,
LNN,LTM_PA,1998-06-02 00:00:00,Stream,Regular,Stream,,,24.13,169.86398122,,27.7488,26.2,1.353,,16.6912,60.9843,21.1845,0.1385,24.8020111346,,,,6.36,,,,4.116,207.2096,
1A1-112,LTM_ALTM,1998-06-02 00:00:00,IN,Regular,Lake,0.0,1059,10.35,55.389,,5.358,16.62,4.405,4.36912,6.4,23.044,24.795,0.1108,0.2254,,5.61,,5.554,,,,1.304,92.976,
1A1-052,LTM_ALTM,1998-06-02 00:00:00,EPI,Regular,Lake,0.0,0915,77.27,119.76,,8.46,24.44,4.079,4.84288,6.912,35.389,26.97,0.7756,3.542,,6.92,,6.536,,,,4.143,102.336,
01434025,LTM_CAT,1998-06-01 09:35:00,Stream,Regular,Stream,,,23.1,95.68,,10.81,17.62,1.66658659620466,,4.25,36.3,14.0,,7.3,,,,6.39,,,,32.84,101.76,9.9
01434025,LTM_CAT,1998-06-01 05:50:00,Stream,Regular,Stream,,,31.6,97.88,,10.38,18.67,3.17667547441749,,6.13,36.16,12.3,,11.78,,,,6.25,,,,28.42,97.6,11.8
0143400680,LTM_CAT,1998-06-01 01:05:00,Stream,Regular,Stream,,,-12.6,52.96,,10.83,18.55,3.57914965169349,,7.39,40.04,12.5,,11.06,,,,4.94,,,,31.79,99.28,11.7
01364959,LTM_CAT,1998-06-01 00:32:00,Stream,Regular,Stream,,,-0.6,62.0,,11.47,18.29,2.24609656497718,,9.15,37.84,14.4,,11.91,,,,5.41,,,,31.21,103.82,12.5
