SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
050649,LTM_ALTM,2009-02-09 00:00:00,EPI,Regular,Lake,0.0,1230,-18.5,49.9,20.363846,10.25352,24.676,16.823,3.969056,10.752,26.336,20.88,5.7616,3.16204,,4.55,,4.512,,7.67,,6.66,58.14432,
1A1-103,LTM_ALTM,2009-02-09 00:00:00,EPI,Regular,Lake,0.0,1340,10.04,69.86,0.522667,8.9394,17.412,5.54,3.116288,5.632,20.575,23.925,1.8836,10.92546,,5.53,,5.434,,3.55,,5.29,79.94272,
04253630,LTM_ALTM,2009-02-09 00:00:00,EPI,Regular,Stream,0.0,1035,13.35,74.351,,7.62246,17.81,4.742,3.537408,6.656,20.575,23.49,3.2132,14.14224,,5.73,,5.573,,,,5.55,87.92576,
060315A,LTM_ALTM,2009-02-09 00:00:00,EPI,Regular,Stream,0.0,1114,22.37,91.816,0.612221,8.69688,23.184,4.939,3.468976,7.68,37.858,37.845,2.77,16.74883,,6.26,,5.483,,5.15,,10.1,116.25536,
1A1-087,LTM_ALTM,2009-02-09 00:00:00,IN,Regular,Lake,0.0,1155,97.44,184.131,2.045085,5.7246,25.87,4.209,2.68464,4.864,30.451,10.875,3.8226,17.37673,,7.26,,6.369,,5.17,,3.74,83.10224,
1A1-059,LTM_ALTM,2009-02-09 00:00:00,EPI,Regular,Lake,0.0,1120,44.67,109.78,0.433113,8.88582,23.581,6.058,3.995376,6.656,47.734,40.455,0.4986,18.55525,,6.67,,6.019,,5.87,,9.66,104.06656,
060182,LTM_ALTM,2009-02-09 00:00:00,EPI,Regular,Lake,0.0,0930,39.72,127.744,0.681874,7.70706,21.89,4.471,2.679376,3.84,24.69,26.535,0.7202,17.27852,,6.76,,6.034,,3.1,,6.64,96.36224,
01434021,LTM_CAT,2009-02-06 14:45:00,Stream,Regular,Stream,,,-0.306756496429443,47.1397895812988,,9.80430030822754,18.6399993896484,1.23340002825533,,4.24814081192017,36.8186073303223,12.9431200027466,0.708999991416931,17.9652004241943,,,,5.25522470474243,,,,38.2009391784668,94.1118011474609,0.8
SK01,VTSSS,2009-02-06 00:00:00,Stream,Regular,Stream,,,86.32,111.37,,15.03,29.0,,,14.75,100.19,25.76,0.3,13.07,,,,6.7,,,,81.14,129.62,1.0
030255,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Stream,0.0,1150,188.75,263.472,0.542568,9.68388,34.327,3.877,2.34248,8.96,83.123,43.935,1.1634,16.37692,,7.56,,6.529,,9.96,,10.18,86.0392,
1A1-107,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.5,1010,-36.52,50.399,10.537753,12.43338,26.069,18.798,0.7896,5.376,30.451,9.57,13.019,0.68747,,4.35,,4.373,,12.51,,1.46,36.22112,
030172,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.5,1025,115.03,143.213,4.552596,6.15606,19.801,6.689,0.81592,11.264,41.15,3.48,22.4924,0.42665,,7.26,,6.011,,36.39,,0.84,25.38016,
1A1-029,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.0,1048,104.3,193.113,1.398306,13.41474,25.373,5.171,1.858192,7.936,40.327,39.15,7.202,7.00189,,7.21,,6.086,,8.0,,6.29,84.05696,
020058,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.5,1230,61.28,150.698,1.050041,9.59364,19.801,11.807,3.626896,6.4,44.442,27.405,3.3794,1.24775,,6.7,,5.882,,5.76,,6.42,54.9848,
020138,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.0,0945,-4.54,44.411,78.220803,6.64674,16.02,10.964,0.784336,9.216,9.876,5.22,17.6726,2.05919,,4.75,,4.811,,43.21,,1.48,29.16784,
020188,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.5,1128,-9.33,34.431,6.831247,5.05908,9.95,1.153,0.621152,6.144,13.168,2.175,1.2742,0.89355,,5.21,,5.259,,8.57,,-0.04,46.67312,
020197,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.5,1205,-0.29,20.459,1.846076,6.74826,8.865,4.317,0.468496,3.584,7.407,3.045,13.6284,1.34113,,5.33,,5.214,,6.51,,0.16,25.792,
020059,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.5,1255,55.14,146.706,1.368455,25.48152,20.895,8.774,3.274208,7.168,45.265,35.67,1.7728,1.36528,,6.82,,6.054,,5.59,,2.89,61.04592,
030171,LTM_ALTM,2009-02-05 00:00:00,EPI,Regular,Lake,0.5,1015,3.27,37.425,6.562585,6.28296,13.93,9.801,0.768544,7.68,11.522,3.48,13.7392,2.11393,,4.86,,4.846,,21.24,,0.64,24.2944,
01434025,LTM_CAT,2009-02-04 13:45:00,Stream,Regular,Stream,,,36.7582359313965,102.592720031738,,14.0748996734619,19.3099994659424,1.2640999567901,,3.94275617599487,38.2924575805664,15.5256195068359,0.0,16.1657009124756,,,,6.33656978607178,,,,35.7006797790527,86.9548034667969,0.8
