SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
1A2-077,LTM_ALTM,2012-11-13 00:00:00,EPI,Regular,Lake,0.0,1330,111.634,134.0505117,0.955558,6.21246,21.6864,3.685971,0.531664,1.7197312,25.0728596,36.202614,-0.2608232,3.80765,,7.16,,6.764,,4.5,,5.725997,57.59312,
060182,LTM_ALTM,2012-11-13 00:00:00,EPI,Regular,Lake,0.0,0930,113.914,166.1558723,0.985544,6.84132,24.3972,3.646223,2.195088,4.128768,22.6145586,25.277676,-0.137392,13.48536,,7.22,,6.777,,3.63,,5.386129,65.68016,
1A3-001,LTM_ALTM,2012-11-13 00:00:00,EPI,Regular,Lake,0.0,1200,94.958,111.0043464,11.650672,8.33592,21.7868,6.410709,3.984848,7.7166848,45.8869411,34.22406,-0.2136224,2.07368,,7.07,,6.726,,5.91,,2.373084,66.70976,
1A1-052,LTM_ALTM,2012-11-13 00:00:00,EPI,Regular,Lake,0.0,1045,91.626,126.6836749,19.157243,7.7832,21.6864,5.76182,4.479664,5.5126784,35.1521406,30.654102,-0.8324404,0.10787,,7.01,,6.809,,4.63,,2.073611,68.7128,
ME-9998,LTM_ME,2012-11-12 00:00:00,EPI,Regular,Lake,,,-12.86,85.26413,,63.28644,31.0,27.8686247496301,,8.0512,43.33918,75.6726,,0.391814159292035,501.666132127664,4.62,,4.55,4.55,4.96864767308599,,5.30639982223511,22.8306832,6.0
BNR,LTM_PA,2012-11-12 00:00:00,Stream,Regular,Stream,,,25.0,84.83,,91.95156,27.73,0.7289,,21.2314,51.0198,68.73,-0.22176,14.00084,,,,6.23,,,,,93.0654,
WWW,LTM_PA,2012-11-09 00:00:00,Stream,Regular,Stream,,,41.0,144.211,,29.33424,32.84,0.6255,,17.1386,77.3526,20.01,-0.22176,21.7755,,,,6.25,,,,,184.29864,
LNN,LTM_PA,2012-11-09 00:00:00,Stream,Regular,Stream,,,60.0,149.201,,23.100714,29.11,1.022,,8.1856,51.0198,23.49,-0.16632,12.71044,,,,6.3,,,,,164.95686,
STN,LTM_PA,2012-11-08 00:00:00,Stream,Regular,Stream,,,15.6,133.732,,175.72338,46.97,0.951,,14.069,74.8839,90.045,-0.44352,0.70972,,,,4.94,,,,,161.9796,
040576,LTM_ALTM,2012-11-08 00:00:00,EPI,Regular,Lake,0.0,1107,39.124,84.722715,3.704302,7.0641,15.562,4.215717,1.73712,4.820736,17.2062141,17.7076755,1.7433826,8.52012,,6.6,,6.322,,3.78,,1.365036,56.316,
050649,LTM_ALTM,2012-11-08 00:00:00,EPI,Regular,Lake,0.0,1235,11.574,51.2733977,4.10412,8.41488,16.7668,13.737467,3.948,6.8453376,27.5312429,19.772229,3.7053736,2.44076,,4.96,,4.94,,8.49,,4.31045,33.14064,
VT07,VTSSS,2012-11-07 00:00:00,Stream,Regular,Stream,,,3.23,50.67,,12.05,15.3,,,7.34,24.79,17.38,0.0,4.21,,,,5.26,,,,62.13,72.93,5.0
VT38,VTSSS,2012-11-07 00:00:00,Stream,Regular,Stream,,,77.84,76.24,,16.27,23.3,,,17.96,71.94,35.33,0.0,2.2,,,,6.75,,,,75.8,101.67,6.5
