SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
VT76,VTSSS,2004-05-04 00:00:00,Stream,Regular,Stream,,,17.03,11.48,,18.6,11.7,,,28.26,26.25,21.74,,0.7,,,,5.88,,,,99.15,52.54,12.0
VT42,VTSSS,2004-05-04 00:00:00,Stream,Regular,Stream,,,70.06,47.61,,19.49,14.1,,,8.8,26.58,46.36,,7.23,,,,6.58,,,,128.87,21.77,10.0
VT14,VTSSS,2004-05-04 00:00:00,Stream,Regular,Stream,,,19.56,26.35,,13.65,10.6,,,11.84,30.45,13.82,,2.32,,,,6.11,,,,66.37,45.06,12.0
VT12,VTSSS,2004-05-04 00:00:00,Stream,Regular,Stream,,,94.3,74.25,,15.55,18.1,,,13.34,62.47,13.17,,12.88,,,,6.73,,,,67.05,38.31,8.3
04253630,LTM_ALTM,2004-05-04 00:00:00,EPI,Regular,Stream,0.0,1015,1.17,61.377,,6.768,21.6,5.111,3.47424,8.704,17.283,21.315,0.9972,21.3164,,4.91,,4.917,,,,4.05,90.688,
VT15,VTSSS,2004-05-04 00:00:00,Stream,Regular,Stream,,,17.03,21.46,,13.54,8.0,,,8.96,17.61,14.13,,0.68,,,,5.96,,,,80.38,23.89,12.0
04253712,LTM_ALTM,2004-05-04 00:00:00,EPI,Regular,Stream,0.0,1122,47.78,105.289,,7.332,23.1,4.481,4.94816,8.704,32.097,36.54,0.4986,23.0552,,6.69,,6.277,,,,6.39,92.768,
1A1-111,LTM_ALTM,2004-05-04 00:00:00,IN,Regular,Lake,0.0,1055,-16.63,33.932,,5.922,21.0,8.129,1.78976,7.168,11.522,16.095,2.4376,8.0017,,4.61,,4.615,,,,1.35,71.76,
04253660,LTM_ALTM,2004-05-04 00:00:00,EPI,Regular,Stream,0.0,1140,27.0,94.81,,6.768,20.1,4.753,4.57968,6.4,27.159,20.88,1.108,12.7834,,6.15,,5.91,,,,4.18,91.936,
020138,LTM_ALTM,2004-05-03 00:00:00,EPI,Regular,Lake,0.0,0910,-23.93,33.433,,5.64,18.1,10.716,1.00016,7.936,9.876,6.525,2.77,1.3846,,4.52,,4.5,,,,0.95,37.024,
