SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
1A1-029,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.0,1305,133.64,146.207,,9.024,25.3,5.189,1.8424,7.168,46.088,40.89,-0.1662,0.4991,,7.26,,6.918,,,,2.38,70.512,
1A1-107,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.5,1230,-47.05,20.459,,10.434,26.62,15.391,0.94752,4.352,23.867,9.135,0.2216,0.4991,,4.31,,4.295,,,,0.25,32.448,
1A1-110,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.0,1125,88.53,107.784,,10.152,22.44,3.881,5.47456,8.704,37.035,39.15,1.8282,3.4132,,7.06,,6.673,,,,4.23,77.792,
020138,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.0,1025,-23.87,24.451,,5.64,17.65,11.292,1.00016,9.984,9.053,4.785,1.9944,0.5635,,4.54,,4.522,,,,0.22,25.584,
1A2-076,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.5,1240,3.79,31.936,,4.23,8.68,3.95,0.7896,4.608,6.584,3.045,-0.0554,0.4991,,5.21,,5.168,,,,0.1,31.824,
1A1-106,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.0,1035,27.93,77.345,,10.152,16.63,4.584,3.31632,6.656,21.398,26.535,0.6094,5.0232,,6.29,,6.019,,,,2.97,71.968,
020188,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.5,1330,-4.56,28.443,,4.512,11.53,1.793,0.89488,6.144,14.814,2.61,-0.1662,0.4991,,4.98,,4.979,,,,0.06,52.416,
020197,LTM_ALTM,2006-09-13 00:00:00,EPI,Regular,Lake,0.5,1350,-5.21,16.966,,3.666,9.78,4.224,0.73696,2.048,7.407,3.045,-0.2216,0.4991,,4.87,,4.853,,,,0.18,26.624,
050215,LTM_ALTM,2006-09-12 00:00:00,EPI,Regular,Lake,0.0,1030,70.46,124.251,,12.408,20.4,12.222,1.78976,0.768,32.92,36.54,0.4986,0.4025,,6.75,,5.844,,,,2.45,56.16,
050707,LTM_ALTM,2006-09-12 00:00:00,EPI,Regular,Lake,0.0,1225,21.65,60.878,,5.358,14.14,6.312,0.68432,2.56,15.637,18.705,2.77,14.3773,,5.58,,5.438,,,,4.96,50.752,
020265,LTM_ALTM,2006-09-12 00:00:00,EPI,Regular,Lake,0.0,1345,34.94,73.852,,7.05,16.56,3.219,1.0528,1.792,22.221,28.71,1.8282,12.5097,,6.6,,6.089,,,,8.08,68.224,
070728,LTM_ALTM,2006-09-12 00:00:00,EPI,Regular,Stream,0.0,1130,35.84,70.858,,10.434,17.27,2.485,2.1056,5.376,29.628,33.06,0.6094,1.8837,,6.6,,6.203,,,,2.69,81.536,
050706,LTM_ALTM,2006-09-12 00:00:00,EPI,Regular,Lake,0.0,1125,13.86,60.878,,5.358,13.94,4.807,0.7896,1.536,15.637,20.88,1.4404,9.8371,,5.73,,5.46,,,,5.18,60.944,
1A1-102,LTM_ALTM,2006-09-12 00:00:00,EPI,Regular,Lake,0.0,1445,44.01,84.331,,6.768,15.35,2.485,0.94752,2.304,18.929,23.055,0.554,0.483,,6.86,,6.471,,,,2.02,64.896,
1A2-078,LTM_ALTM,2006-09-12 00:00:00,EPI,Regular,Lake,0.0,1150,12.79,55.888,,10.434,14.64,3.08,1.89504,5.12,20.575,25.23,0.3878,0.4991,,5.86,,5.69,,,,0.95,76.544,
1A2-077,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.0,1120,101.4,128.243,,6.486,21.41,4.028,0.05264,2.048,24.69,37.41,-0.1108,0.4025,,7.21,,7.085,,,,5.91,72.8,
1A1-052,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.0,1035,72.42,126.746,,8.46,22.62,5.597,4.05328,5.888,36.212,30.885,0.1662,0.4025,,6.9,,6.569,,,,3.01,89.024,
040874,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.5,1300,13.22,50.898,,6.768,13.33,2.996,1.78976,4.608,19.752,18.705,2.1052,2.6887,,5.9,,5.83,,,,2.76,67.6,
040707,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.5,1250,75.58,91.317,,7.332,20.1,4.419,3.79008,8.448,34.566,40.02,-0.1662,0.4025,,7.0,,6.629,,,,5.31,70.304,
060182,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.0,0935,101.06,164.67,,8.742,25.86,3.841,2.00032,4.864,24.69,27.84,1.0526,8.7745,,7.16,,6.826,,,,5.48,92.56,
1A2-028,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.0,1300,148.81,185.129,,9.588,31.61,5.614,1.0528,4.352,51.849,38.715,0.7202,14.0553,,7.36,,6.984,,,,8.44,92.352,
040704,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.0,1430,25.94,52.395,,4.512,12.93,3.443,2.68464,5.12,18.106,29.145,0.0,0.4991,,6.45,,6.169,,,,0.67,62.192,
1A3-048,LTM_ALTM,2006-09-11 00:00:00,EPI,Regular,Lake,0.0,1114,50.55,74.351,,8.46,18.58,5.06,3.79008,6.912,28.805,46.11,0.0,0.4025,,6.78,,6.369,,,,5.02,78.832,
04253639,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Stream,0.0,1315,10.12,54.89,,9.024,14.75,11.34,3.1584,4.864,18.929,22.185,0.0,0.7084,,5.13,,5.122,,,,1.47,43.888,
1A1-059,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Lake,0.0,1505,57.34,102.794,,7.896,21.41,10.874,3.47424,7.424,41.15,36.105,0.0554,2.898,,6.42,,6.083,,,,7.14,77.792,
1A1-103,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Lake,0.0,1215,23.45,72.355,,9.306,15.76,5.012,2.78992,6.4,18.929,25.23,0.831,3.4615,,6.05,,5.869,,,,2.7,70.096,
04253740,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Stream,0.0,1112,51.82,85.329,,6.486,17.47,4.635,3.79008,7.168,29.628,31.32,0.277,2.8658,,6.77,,6.327,,,,1.89,67.184,
040826,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Lake,0.0,1130,45.71,90.818,,14.664,17.88,3.636,2.31616,5.632,25.513,28.71,0.0,2.3023,,6.74,,6.264,,,,1.97,68.432,
1A1-112,LTM_ALTM,2006-09-07 00:00:00,IN,Regular,Lake,0.0,1300,21.47,61.377,,5.076,14.14,7.078,3.57952,3.84,19.752,24.795,-0.2216,0.5796,,5.73,,5.578,,,,1.14,59.904,
060315A,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Stream,0.0,1455,101.79,107.285,,15.51,22.32,13.41,3.36896,14.336,41.973,49.59,4.0442,1.5939,,6.94,,6.356,,,,6.63,42.848,
1A1-109,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Lake,0.0,1118,102.86,127.744,,11.562,25.25,4.499,5.84304,9.472,40.327,41.325,0.4986,5.0232,,7.18,,6.687,,,,5.72,84.656,
050649,LTM_ALTM,2006-09-07 00:00:00,EPI,Regular,Lake,0.0,1030,1.68,49.401,,6.486,18.99,14.332,3.6848,5.632,27.159,19.14,0.0,0.4025,,4.78,,4.738,,,,2.34,49.92,
030171,LTM_ALTM,2006-09-06 00:00:00,EPI,Regular,Lake,0.5,0940,-19.68,21.956,,5.076,15.76,9.516,1.10544,6.4,9.876,3.915,-0.2216,0.4025,,4.55,,4.537,,,,0.15,22.672,
030255,LTM_ALTM,2006-09-06 00:00:00,EPI,Regular,Stream,0.0,1230,187.22,166.167,,7.614,33.03,4.083,2.21088,8.192,86.415,45.24,-0.1662,0.4025,,7.51,,7.063,,,,6.42,84.656,
030172,LTM_ALTM,2006-09-06 00:00:00,EPI,Regular,Lake,0.5,0950,74.93,92.814,,3.948,14.75,7.357,0.89488,10.24,41.15,3.915,0.0,0.4025,,6.99,,6.58,,,,0.1,25.168,
1A1-071,LTM_ALTM,2006-09-06 00:00:00,EPI,Regular,Lake,0.0,1250,206.17,176.147,,7.896,34.04,3.978,2.21088,8.192,88.061,45.24,-0.4432,0.4025,,7.5,,7.294,,,,6.62,82.992,
