SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
VT33,VTSSS,2020-11-06 00:00:00,Stream,Regular,Stream,,,255.82,232.76,,14.85,33.2,,,11.93,53.06,18.25,0.0,0.0,,,,7.2,,,,5.54,47.06,11.5
VT34,VTSSS,2020-11-06 00:00:00,Stream,Regular,Stream,,,49.48,61.15,,15.74,15.2,,,10.99,32.1,18.7,0.0,0.0,,,,6.48,,,,5.19,56.45,11.5
VT09,VTSSS,2020-11-04 00:00:00,Stream,Regular,Stream,,,14.1,38.99,,10.26,11.8,,,8.47,26.95,14.46,0.0,1.07,,,,5.98,,,,4.41,60.09,8.5
1C1-093,LTM_VT,2020-11-04 00:00:00,EPI,Regular,Lake,1.0,11:49,16.8,30.439,,11.844,10.6,3.1,,8.704,13.5795,31.32,,1.43,,6.25,6.07,,6.01,8.4,,4.04,46.384,2.1
VT08,VTSSS,2020-11-04 00:00:00,Stream,Regular,Stream,,,22.47,53.98,,10.28,12.7,,,6.99,24.65,15.57,0.0,2.76,,,,6.14,,,,3.9,56.05,8.0
VT07,VTSSS,2020-11-04 00:00:00,Stream,Regular,Stream,,,2.85,38.25,,10.27,12.6,,,6.9,21.2,16.04,0.0,0.0,,,,5.34,,,,3.93,60.74,9.0
SK01,VTSSS,2020-11-02 00:00:00,Stream,Regular,Stream,,,133.24,110.09,,13.14,28.1,,,17.62,97.69,26.27,0.0,0.0,,,,6.94,,,,5.69,93.71,7.5
1C1-107,LTM_VT,2020-10-30 00:00:00,EPI,Regular,Lake,1.0,10:49,92.0,129.241,,12.7464,18.3,6.9,,6.144,24.3608,29.145,,2.856,,7.13,6.25,,6.54,6.2,,2.84,38.272,7.6
1C1-101,LTM_VT,2020-10-29 00:00:00,EPI,Regular,Lake,1.0,14:46,13.6,22.954,,9.5598,8.99,7.5,,9.728,15.0609,22.185,,1.43,,5.76,5.5,,5.58,14.1,,1.75,22.048,8.4
1C1-089,LTM_VT,2020-10-29 00:00:00,EPI,Regular,Lake,1.0,13:10,20.8,25.449,,4.935,8.62,7.0,,7.936,21.9741,21.75,,1.43,,6.28,5.97,,6.02,8.7,,0.95,25.584,8.0
