SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
01364959,LTM_CAT,1997-03-31 07:38:00,Stream,Regular,Stream,,,-5.6,65.0,,12.02,21.2,1.85503242853711,,6.65,38.8,12.3,,45.12,,,,5.01,,,,25.08,87.44,3.4
01364959,LTM_CAT,1997-03-31 07:02:00,Stream,Regular,Stream,,,-0.6,66.2,,12.56,24.0,2.23913043478261,,6.46,39.8,12.3,,45.78,,,,4.99,,,,24.61,90.98,3.5
0143400680,LTM_CAT,1997-03-30 15:02:00,Stream,Regular,Stream,,,-15.8,53.0,,12.0,,3.47369685323084,,5.73,42.4,12.3,,44.01,,,,4.73,,,,26.73,91.02,3.6
01434025,LTM_CAT,1997-03-29 20:18:00,Stream,Regular,Stream,,,17.2,101.6,,11.44,21.1,2.38025462406918,,4.88,37.4,11.9,,49.26,,,,5.56,,,,22.54,87.48,2.7
01434025,LTM_CAT,1997-03-29 15:13:00,Stream,Regular,Stream,,,11.5,102.6,,11.49,20.3,2.14436704299784,,4.4,37.8,11.4,,42.41,,,,5.93,,,,22.56,90.4,1.8
0143400680,LTM_CAT,1997-03-28 15:32:00,Stream,Regular,Stream,,,-12.2,49.0,,11.41,14.54,2.60353110737449,,5.22,39.0,11.9,,27.08,,,,4.92,,,,25.49,86.26,3.1
01434025,LTM_CAT,1997-03-28 14:39:00,Stream,Regular,Stream,,,22.0,102.2,,12.5,20.7,2.01633437424934,,4.26,38.8,12.8,,31.22,,,,6.06,,,,23.85,96.36,3.6
01434025,LTM_CAT,1997-03-27 14:09:00,Stream,Regular,Stream,,,12.7,104.8,,12.59,19.77,1.9658899831852,,4.41,40.0,13.1,,32.26,,,,6.12,,,,24.6,98.52,2.6
01434025,LTM_CAT,1997-03-25 09:35:00,Stream,Regular,Stream,,,50.4,113.2,,13.58,,0.941628633197214,,4.0,42.8,14.3,,26.44,,,,6.26,,,,29.25,107.88,0.1
STN,LTM_PA,1997-03-19 00:00:00,Stream,Regular,Stream,,,-16.8,78.4976332011334,,26.7336,32.3,1.442,,13.0048,62.7949,18.879,0.1385,4.20501732,,,,4.87,,,,3.91,182.5616,
BNR,LTM_PA,1997-03-19 00:00:00,Stream,Regular,Stream,,,8.53,89.5345568260073,,61.1376,24.6,1.268,,25.1136,50.9437,31.2765,0.1385,8.908935,,,,5.59,,,,3.61,96.0336,
RBS,LTM_PA,1997-03-19 00:00:00,Stream,Regular,Stream,,,-14.9,149.663918673727,,16.0458,27.9,1.64,,12.9792,62.7126,19.0095,0.1385,5.06027508,,,,4.85,,,,3.3,172.4944,
01434025,LTM_CAT,1997-03-18 10:25:00,Stream,Regular,Stream,,,32.7,109.4,,12.83,20.6,0.957242373288494,,4.91,40.0,12.8,,22.04,,,,6.28,,,,28.63,114.86,0.4
040852,LTM_ALTM,1997-03-18 00:00:00,EPI,Regular,Lake,0.5,1115,-14.81,57.884,,6.486,27.64,4.398,2.42144,4.608,22.221,15.225,1.108,42.5684,,4.63,,4.599,,,,4.11,94.848,
