SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
1A1-106,LTM_ALTM,1990-12-03 00:00:00,OUT,Regular,Lake,,,8.4,92.6,,8.9,24.7,4.9,4.2,17.9,25.5,28.0,3.1,26.7,,,5.22,,,,,3.78,120.0,2.0
1A1-107,LTM_ALTM,1990-12-03 00:00:00,EPI,Regular,Lake,,,-43.2,39.9,,6.7,33.2,17.0,1.0,14.8,19.7,8.4,1.0,0.1,,,4.26,,,,,0.88,49.4,1.0
1A1-103,LTM_ALTM,1990-12-03 00:00:00,OUT,Regular,Lake,,,12.5,88.8,,9.7,27.9,4.5,4.0,17.0,23.9,28.7,2.3,25.9,,,5.26,,,,,3.74,117.8,3.0
1A1-102,LTM_ALTM,1990-12-03 00:00:00,OUT,Regular,Lake,,,52.2,109.3,,4.5,21.7,3.7,0.9,9.5,23.0,24.0,1.5,4.6,,,6.15,,,,,1.58,93.1,1.0
1A2-077,LTM_ALTM,1990-12-03 00:00:00,OUT,Regular,Lake,,,112.5,158.4,,5.5,29.9,3.8,0.7,8.8,29.3,44.3,2.5,3.3,,,6.78,,,,,5.14,111.9,1.0
1E1-134,LTM_ME,1990-11-16 00:00:00,EPI,Regular,Lake,,,-24.4,32.9,,98.0,35.4,5.4,,7.7,27.1,100.9,,0.7,,4.6,,,4.6,,,4.99,98.0,
1E1-133,LTM_ME,1990-11-16 00:00:00,EPI,Regular,Lake,,,49.2,60.1,,70.0,23.2,3.4,,7.4,32.1,95.5,,0.0,,6.92,,,6.05,,,2.5,62.0,
1E1-131,LTM_ME,1990-11-16 00:00:00,EPI,Regular,Lake,,,13.2,32.4,,60.0,18.0,2.8,,6.1,23.9,76.6,,0.7,,6.07,,,5.58,,,1.39,58.0,
1E1-132,LTM_ME,1990-11-16 00:00:00,EPI,Regular,Lake,,,14.0,42.9,,82.0,22.5,2.1,,7.7,28.8,95.7,,0.0,,6.24,,,5.68,,,2.74,79.0,
1E1-135,LTM_ME,1990-11-16 00:00:00,EPI,Regular,Lake,,,60.4,64.6,,66.0,22.4,3.5,,12.0,32.1,84.2,,0.0,,7.02,,,6.2,,,1.26,50.5,
0143400680,LTM_CAT,1990-11-12 00:00:00,Stream,Regular,Stream,,,-11.3,60.4,,18.2,28.0,2.6,,5.9,48.5,14.4,,33.4,,,4.63,,,,,2.2,110.7,
01434025,LTM_CAT,1990-11-12 00:00:00,Stream,Regular,Stream,,,16.0,123.3,,19.2,25.6,2.0,,5.4,46.9,14.4,,41.1,,,5.46,,,,,2.16,,
1A1-052,LTM_ALTM,1990-11-04 00:00:00,OUT,Regular,Lake,,,74.1,157.2,,12.9,31.2,5.0,5.3,10.7,46.9,36.6,0.7,5.0,,,6.77,,,,,3.71,134.2,6.0
