SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
VT40,VTSSS,1989-01-25 00:00:00,Stream,Regular,Stream,,,15.52,14.87,,15.32,10.31,,,19.46,25.6,23.26,,0.65,,,,6.01,,,,72.75,52.77,
VT24,VTSSS,1989-01-25 00:00:00,Stream,Regular,Stream,,,24.1,50.1,,16.7,12.27,,,10.28,26.83,16.44,,0.77,,,,6.1,,,,80.94,58.15,
STN,LTM_PA,1989-01-24 00:00:00,Stream,Regular,Stream,,,-6.2,96.4,,29.2,30.2,2.3,,12.9,63.0,22.4,0.5,2.5,,,5.19,,,,,4.15,185.0,
RBS,LTM_PA,1989-01-24 00:00:00,Stream,Regular,Stream,,,-2.0,96.0,,24.3,28.6,2.0,,18.0,74.1,19.5,1.3,10.0,,,5.42,,,,,4.0,183.3,
RBS,LTM_PA,1989-01-20 00:00:00,Stream,Regular,Stream,,,-5.5,92.7,,29.1,31.1,1.6,,17.3,72.6,18.8,0.7,12.8,,,5.2,,,,,6.2,192.1,
WWW,LTM_PA,1989-01-19 00:00:00,Stream,Regular,Stream,,,21.8,148.4,,47.1,35.9,1.1,,21.0,79.0,23.5,0.3,23.6,,,6.34,,,,,7.0,202.6,
LNN,LTM_PA,1989-01-19 00:00:00,Stream,Regular,Stream,,,-1.3,167.0,,34.3,36.5,1.0,,10.2,63.2,21.6,0.3,25.0,,,5.6,,,,,6.0,235.8,
BNR,LTM_PA,1989-01-18 00:00:00,Stream,Regular,Stream,,,7.3,70.8,,58.5,22.0,0.9,,18.0,47.6,34.9,0.3,10.0,,,5.94,,,,,6.7,92.9,
RBS,LTM_PA,1989-01-17 00:00:00,Stream,Regular,Stream,,,-4.4,101.2,,27.9,31.7,1.1,,16.7,76.6,17.9,0.7,8.4,,,5.2,,,,,6.33,195.6,
STN,LTM_PA,1989-01-17 00:00:00,Stream,Regular,Stream,,,-3.8,103.5,,34.1,31.8,0.8,,12.5,67.0,20.7,0.7,1.4,,,5.11,,,,,6.5,200.0,
1C1-091,LTM_VT,1989-01-10 00:00:00,EPI,Regular,Lake,2.0,,49.5,113.9,,14.1,25.3,,,5.6,52.3,27.8,,1.48823529411765,,,6.29,,,,,,115.3,0.5
WWW,LTM_PA,1989-01-10 00:00:00,Stream,Regular,Stream,,,7.2,181.6,,33.8,37.5,0.8,,9.4,63.7,22.9,0.3,24.3,,,5.65,,,,,4.65,224.5,
LNN,LTM_PA,1989-01-10 00:00:00,Stream,Regular,Stream,,,19.3,176.5,,37.5,36.9,1.1,,13.8,73.6,22.9,1.0,23.4,,,6.01,,,,,5.13,218.2,
1A2-077,LTM_ALTM,1989-01-05 00:00:00,OUT,Regular,Lake,,,125.6,221.6,,11.1,35.5,2.9,1.4,4.1,42.0,50.8,0.0,5.6,,,6.85,,,,,4.8,142.1,1.0
