SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
VT43,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,69.54,36.42,,17.14,10.4,,,6.85,13.74,42.08,0.0,0.18,,,,6.65,,,,109.98,9.03,9.75
VT52,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,66.23,104.58,,19.82,21.5,,,11.27,49.15,18.84,0.0,0.31,,,,6.61,,,,89.76,92.36,10.5
VT64,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,67.28,37.97,,18.67,11.1,,,9.54,14.98,39.62,0.0,0.21,,,,6.26,,,,110.72,8.13,10.0
VT46,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,92.06,64.1,,21.55,16.2,,,6.8,21.43,60.7,0.0,0.18,,,,6.72,,,,143.97,32.62,11.0
VT39,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,-0.6,11.34,,19.77,11.2,,,15.41,14.93,17.82,1.16,0.25,,,,5.11,,,,83.31,45.92,11.0
VT15,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,43.88,37.8,,13.79,13.3,,,12.55,41.33,16.95,0.0,0.26,,,,6.31,,,,93.74,49.85,12.0
VT48,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,80.22,36.24,,18.39,20.0,,,39.6,55.28,40.7,0.0,0.54,,,,6.7,,,,139.71,70.69,11.0
VT63,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,111.25,60.63,,20.13,16.4,,,11.35,24.28,58.07,0.0,0.32,,,,6.85,,,,147.17,19.81,11.5
VT65,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,79.38,47.9,,17.8,12.8,,,8.78,16.17,47.18,0.0,0.09,,,,6.63,,,,128.87,18.86,10.0
VT44,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,90.51,51.61,,19.5,16.0,,,9.64,20.52,54.59,0.0,0.28,,,,6.68,,,,142.13,30.2,11.5
VT45,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,74.35,33.89,,22.26,18.5,,,27.64,62.75,39.85,0.0,0.33,,,,6.58,,,,126.25,60.35,12.0
VT56,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,10.46,20.46,,13.24,12.7,,,18.4,36.8,15.06,0.0,0.59,,,,5.79,,,,79.22,66.95,11.1
M004,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,62.34,91.85,,13.16,17.3,,,9.69,22.9,33.91,0.0,0.89,,,,6.59,,,,93.76,63.37,10.0
VT40,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,20.3,15.39,,17.94,11.6,,,23.08,24.06,23.09,0.0,0.07,,,,5.95,,,,89.35,46.98,11.0
1C1-097,LTM_VT,2015-10-26 00:00:00,EPI,Regular,Lake,1.0,13:56,48.0,47.8541,,16.6439,11.81,2.33,,5.19274,22.30059,33.06,,0.321954901960784,,6.91,,,6.07,6.58,6.5,3.14,33.1038,10.9
M003,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,93.47,82.19,,8.48,16.8,,,5.55,67.39,8.86,0.0,0.19,,,,6.65,,,,37.4,44.77,12.5
NFDR,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,81.48,79.12,,36.44,24.3,0.74,,10.5,44.51,74.96,0.0,0.24,,,,6.52,,,,172.31,89.82,10.8
PINE,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,262.99,145.32,,33.59,36.3,0.54,,7.52,117.04,78.17,0.0,0.2,,,,7.12,,,,228.91,49.38,11.0
1C1-090,LTM_VT,2015-10-26 00:00:00,EPI,Regular,Lake,1.0,12:25,52.2,51.896,,9.8735,13.28,3.89,,11.22962,24.76929,25.8825,,0.321954901960784,,6.72,,,6.16,8.62,3.5,2.23,28.9398,8.3
VT76,VTSSS,2015-10-26 00:00:00,Stream,Regular,Stream,,,20.79,13.44,,21.79,12.6,,,28.29,28.41,23.23,0.0,0.19,,,,5.91,,,,109.96,51.38,13.0
