SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
060315A,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Stream,0.0,1000,58.17,153.193,,12.408,31.92,7.079,4.36912,7.168,61.725,39.15,0.0554,7.7602,,6.6,,6.272,,,,8.0,155.584,
1A1-059,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.0,1030,77.5,148.702,,10.434,32.12,5.099,5.10608,7.68,67.486,42.195,1.385,18.5472,,6.91,,6.721,,,,8.11,155.376,
030172,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.5,1113,-3.46,30.938,,5.64,11.33,6.407,1.10544,8.448,14.814,3.045,0.277,0.0,,4.97,,4.986,,,,0.32,34.944,
020059,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.5,1315,27.41,87.325,,36.66,23.35,6.49,3.47424,8.704,46.911,40.89,0.0554,0.0,,6.14,,6.02,,,,0.03,97.968,
1A1-071,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.5,0930,229.8,203.592,,8.46,39.91,2.73,2.68464,8.448,106.99,45.24,0.1662,0.0,,7.5,,7.219,,,,7.56,112.32,
040826,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.0,1315,28.79,101.297,,22.56,22.66,1.516,3.36896,6.144,33.743,31.755,0.554,12.397,,6.57,,6.427,,,,0.98,106.912,
1C1-091,LTM_VT,1995-10-02 00:00:00,EPI,Regular,Lake,1.0,,51.8,80.3,,8.8,17.7,6.4,,3.5,42.4,22.0,,0.0,,,6.61,,,,3.4,0.74,71.0,13.4
030171,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.5,1100,-19.09,22.954,,6.204,15.96,6.468,1.15808,8.192,13.991,4.35,-0.0554,0.0,,4.58,,4.579,,,,0.18,39.52,
1A3-001,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.0,1220,85.23,134.73,,8.178,27.69,5.469,4.2112,8.192,64.194,35.67,-0.0554,0.0,,6.92,,6.555,,,,2.0,124.8,
020058,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.0,1255,29.0,104.79,,9.588,23.94,10.574,4.15856,7.68,49.38,25.23,0.277,0.0,,5.88,,5.513,,,,1.62,109.824,
060182,LTM_ALTM,1995-10-02 00:00:00,EPI,Regular,Lake,0.0,1545,96.61,185.628,,9.87,30.55,2.558,3.21104,5.376,35.389,26.535,0.4432,16.5669,,7.04,,7.103,,,,4.73,141.024,
1C1-107,LTM_VT,1995-09-29 00:00:00,EPI,Regular,Lake,1.0,,92.0,151.7,,14.6,25.2,5.5,,5.4,31.9,28.9,,0.248039215686275,,,6.94,,,,5.5,1.62,91.0,12.8
LNN,LTM_PA,1995-09-28 00:00:00,Stream,Regular,Stream,,,107.2,222.554,,30.456,49.6,1.56,,21.6576,72.424,16.878,1.0526,22.379,,,,6.3,,,,4.1,245.44,
WWW,LTM_PA,1995-09-28 00:00:00,Stream,Regular,Stream,,,101.9,164.171,,44.556,55.3,1.99,,14.5152,97.937,18.009,0.7756,37.03,,,,6.4,,,,4.65,186.576,
1C1-100,LTM_VT,1995-09-27 00:00:00,EPI,Regular,Lake,0.2,,18.4,81.3,,12.5,18.7,6.1,,10.7,28.0,20.7,,1.15,,,5.73,,,,1.4,1.86,88.9,11.1
01434025,LTM_CAT,1995-09-26 11:24:00,Stream,Regular,Stream,,,34.2,146.4,,22.62,26.1,1.24105212587077,,6.18,51.8,21.7,,23.07,,,,6.5,,,,47.76,122.62,10.0
1C1-110,LTM_VT,1995-09-26 00:00:00,EPI,Regular,Lake,1.0,,-2.4,36.5,,13.4,12.4,0.6,,3.1,15.9,15.5,,1.51078431372549,,,5.3,,,,9.0,1.04,61.6,12.6
1C1-093,LTM_VT,1995-09-26 00:00:00,EPI,Regular,Lake,1.0,,7.0,60.4,,11.5,18.1,2.6,,11.8,24.1,35.5,,0.608823529411765,,,5.67,,,,2.6,0.72,97.4,12.5
1C1-112,LTM_VT,1995-09-26 00:00:00,EPI,Regular,Lake,1.0,,81.0,117.3,,13.6,21.2,6.4,,9.4,37.0,36.7,,0.0,,,6.42,,,,2.1,2.2,70.4,13.2
1C1-090,LTM_VT,1995-09-25 00:00:00,EPI,Regular,Lake,1.0,,37.8,62.9,,11.9,16.0,3.7,,12.0,30.0,24.0,,0.0,,,6.45,,,,4.1,1.0,64.5,14.7
1C1-097,LTM_VT,1995-09-25 00:00:00,EPI,Regular,Lake,1.0,,31.8,60.2,,24.0,17.4,2.2,,6.3,28.0,34.4,,0.0,,,6.71,,,,6.5,2.22,74.6,16.4
01364959,LTM_CAT,1995-09-22 18:34:00,Stream,Regular,Stream,,,26.7,104.0,,19.31,25.0,2.33833773720874,,14.6,51.8,24.1,,25.76,,,,6.0,,,,44.97,110.68,
STN,LTM_PA,1995-09-21 00:00:00,Stream,Regular,Stream,,,19.5,66.367,,26.8746,20.4,0.852,,16.1792,49.5446,18.444,0.554,1.8515,,,,5.94,,,,4.73,152.672,
RBS,LTM_PA,1995-09-21 00:00:00,Stream,Regular,Stream,,,96.3,122.255,,34.686,31.0,2.27,,19.84,82.7115,21.7935,0.7202,4.7817,,,,6.71,,,,2.62,166.192,
01434025,LTM_CAT,1995-09-19 10:40:00,Stream,Regular,Stream,,,32.8,131.6,,25.43,26.1,0.908239250540476,,4.81,51.0,23.0,,26.44,,,,6.41,,,,50.76,118.56,
BNR,LTM_PA,1995-09-19 00:00:00,Stream,Regular,Stream,,,32.0,97.804,,129.438,35.3,1.28,,25.2416,50.2853,30.4935,0.831,11.3344,,,,6.53,,,,3.93,68.432,
01364959,LTM_CAT,1995-09-13 09:30:00,Stream,Regular,Stream,,,25.9,106.6,,17.47,23.1,1.0293057890944,,9.38,55.4,25.8,,18.46,,,,6.33,,,,51.63,113.6,11.1
01434025,LTM_CAT,1995-09-12 10:28:00,Stream,Regular,Stream,,,31.4,145.08,,25.55,26.7,0.583953879413884,,4.69,51.2,22.1,,27.03,,,,6.39,,,,46.29,120.76,10.4
030255,LTM_ALTM,1995-09-12 00:00:00,EPI,Regular,Stream,0.0,1307,193.17,183.632,,9.306,36.61,3.478,4.84288,16.384,96.291,46.98,0.7202,0.0161,,7.36,,7.024,,,,6.16,113.36,
020197,LTM_ALTM,1995-09-12 00:00:00,EPI,Regular,Lake,0.5,1240,-17.69,17.964,,2.82,12.46,3.08,0.42112,1.024,12.345,0.435,5.3738,0.0483,,4.66,,4.617,,,,0.48,44.72,
ME-4778,LTM_ME,1995-09-12 00:00:00,EPI,Regular,Lake,,,2.2,22.5,,25.0,10.8,3.2,,5.1,15.6,40.0,,0.0,226.0,5.79,,5.7,5.54,10.0,,0.13,39.0,20.0
