SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
040210,LTM_ALTM,1999-08-18 00:00:00,EPI,Regular,Lake,0.0,1415,-2.6,55.389,,11.28,20.6,1.964,3.10576,9.216,14.814,20.01,2.9916,14.7154,,5.02,,5.011,,,,2.02,101.712,
01434021,LTM_CAT,1999-08-17 21:12:00,Stream,Regular,Stream,,,-23.9499359130859,47.0,,11.1887,20.8,1.37150012010569,,2.51,37.9000015258789,13.1,0.282000005245209,9.74333,,,,4.71799993515015,,,,38.3400001525879,108.4586,13.5
01364959,LTM_CAT,1999-08-17 15:49:00,Stream,Regular,Stream,,,14.3238296508789,87.6600036621094,,40.424,20.8,0.974100048042277,,6.39,57.9000015258789,24.4,0.578999996185303,19.4149,,,,6.29300022125244,,,,51.7700004577637,106.6298,16.0
0143400680,LTM_CAT,1999-08-17 14:41:00,Stream,Regular,Stream,,,-16.2684421539307,51.0,,13.0099,17.3,1.45570021619025,,4.48,40.8199996948242,16.9,0.421999990940094,10.4478,,,,5.11999988555908,,,,40.560001373291,99.7572,17.1
01434025,LTM_CAT,1999-08-17 10:08:00,Stream,Regular,Stream,,,29.2390823364258,119.959999084473,,29.4545,21.1,1.22249939947154,,4.65,48.0,20.9,1.51900005340576,21.0846,,,,6.53599977493286,,,,43.9199981689453,105.1042,15.3
01434021,LTM_CAT,1999-08-17 09:10:00,Stream,Regular,Stream,,,-23.6780796051025,48.2200012207031,,11.4217,20.0,1.34650012010569,,2.54,38.7400016784668,13.4,1.49500000476837,10.2416,,,,4.72700023651123,,,,38.0900001525879,109.4538,13.5
040874,LTM_ALTM,1999-08-17 00:00:00,EPI,Regular,Lake,0.0,1307,25.9,56.886,,7.05,14.7,2.504,2.21088,4.608,22.221,17.4,1.108,1.5778,,6.18,,6.072,,,,3.19,83.616,
040852,LTM_ALTM,1999-08-17 00:00:00,EPI,Regular,Lake,0.0,1600,6.95,51.397,,7.05,14.8,5.953,1.89504,3.584,20.575,16.965,0.6648,0.644,,5.46,,5.405,,,,1.6,74.88,
040850,LTM_ALTM,1999-08-17 00:00:00,EPI,Regular,Lake,0.0,1650,25.22,74.351,,7.614,16.6,3.361,2.57936,4.864,29.628,15.225,0.8864,0.644,,6.61,,6.405,,,,2.21,85.488,
ME-4474,LTM_ME,1999-08-16 00:00:00,EPI,Regular,Lake,,,-36.2,5.0,,44.0,23.0,5.9,,4.9,14.0,47.0,,0.4,310.0,4.57,,4.39,4.5,9.7,,0.11,41.0,
