SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
01364959,LTM_CAT,2011-08-27 15:45:00,Stream,Regular,Stream,,,28.6970825195313,54.4944763183594,,8.5128,13.1199998855591,2.13040002057279,,4.98092079162598,28.3749504089355,13.6269016265869,5.09499979019165,7.9321,,,,5.78052520751953,,,,38.253360748291,63.2778,15.0
01364959,LTM_CAT,2011-08-26 10:30:00,Stream,Regular,Stream,,,8.02217197418213,54.1425361633301,,6.40100002288818,13.4899997711182,1.40079999525559,,2.83803129196167,30.3373756408691,13.1662750244141,1.00699996948242,5.19409990310669,,,,5.95431613922119,,,,38.275520324707,45.7169990539551,14.5
BNR,LTM_PA,2011-08-25 00:00:00,Stream,Regular,Stream,,,43.8,98.802,,79.25886,29.04,4.111,,20.464,57.603,66.12,-0.049896,10.0006,,,,6.22,,,,,93.2736,
LNN,LTM_PA,2011-08-24 00:00:00,Stream,Regular,Stream,,,91.6,223.053,,31.30866,33.52,0.7662,,9.9762,56.7801,33.495,-0.16632,14.85573,,,,6.72,,,,,167.3928,
STN,LTM_PA,2011-08-24 00:00:00,Stream,Regular,Stream,,,14.2,95.309,,43.7193,24.55,0.8005,,10.9994,55.1343,31.32,-0.16632,1.64526,,,,5.97,,,,,131.3742,
WWW,LTM_PA,2011-08-24 00:00:00,Stream,Regular,Stream,,,109.0,208.582,,37.23192,37.46,0.7079,,13.5574,85.5816,23.925,-0.16632,19.5173,,,,6.72,,,,,163.2288,
RBS,LTM_PA,2011-08-24 00:00:00,Stream,Regular,Stream,,,58.2,144.211,,34.69338,32.66,1.182,,16.3712,83.1129,30.885,-0.22176,6.35522,,,,6.43,,,,,168.0174,
01434025,LTM_CAT,2011-08-23 10:06:00,Stream,Regular,Stream,,,35.1215438842773,86.939567565918,,8.80510044097901,14.0699996948242,1.85370004265863,,2.65730762481689,29.9197807312012,12.829514503479,4.39099979400635,9.97749996185303,,,,6.18567276000977,,,,9.53720283508301,61.9053993225098,12.8
1C1-110,LTM_VT,2011-08-17 00:00:00,EPI,Regular,Lake,1.0,08:45,-5.8,,,8.742,10.1,2.14,,,,,,1.449,,5.41,5.11,,5.1,4.31,5.5,0.57,38.064,17.8
01434021,LTM_CAT,2011-08-16 12:45:00,Stream,Regular,Stream,,,-3.84644889831543,19.3961582183838,,4.04780006408691,14.7299995422363,6.73339975702055,,1.46333694458008,14.7168273925781,7.60108757019043,2.32699990272522,3.60549998283386,,,,4.97571802139282,,,,30.8480739593506,49.714599609375,13.2
01434025,LTM_CAT,2011-08-16 11:30:00,Stream,Regular,Stream,,,22.5085468292236,69.7066650390625,,5.75129985809326,12.5200004577637,4.4913998195365,,3.53698658943176,24.4545402526855,9.48329162597656,1.33899998664856,14.8459997177124,,,,5.6286940574646,,,,29.515230178833,46.8082008361816,15.0
0143400680,LTM_CAT,2011-08-16 10:30:00,Stream,Regular,Stream,,,13.5976524353027,28.8386268615723,,5.02850008010864,14.2200002670288,7.18440015299401,,3.01039528846741,21.9454383850098,8.96615886688232,1.51499998569489,4.01879978179932,,,,5.23102998733521,,,,31.6696147918701,49.1402015686035,14.5
01364959,LTM_CAT,2011-08-16 08:00:00,Stream,Regular,Stream,,,16.9911518096924,36.6294975280762,,5.94869995117187,13.0100002288818,3.87939995594561,,3.40863656997681,21.1031131744385,10.3208045959473,0.787000000476837,13.9489002227783,,,,5.60118532180786,,,,30.4598979949951,52.8871994018555,14.6
1C1-097,LTM_VT,2011-08-16 00:00:00,EPI,Regular,Lake,1.0,14:32,22.4,,,16.3618,11.4,2.11,,,,,,0.0321954901960784,,6.34,6.32,,6.31,17.6,6.5,1.69,46.4286,22.7
1C1-090,LTM_VT,2011-08-16 00:00:00,EPI,Regular,Lake,1.0,13:00,36.0,,,8.7451,10.9,4.32,,,,,,0.0643909803921569,,6.53,6.31,,6.31,10.7,3.1,2.18,30.6054,20.1
01434025,LTM_CAT,2011-08-15 16:20:00,Stream,Regular,Stream,,,25.3724975585938,76.7002105712891,,7.31470012664795,13.1300001144409,6.69899985620158,,4.89386701583862,25.9101085662842,8.99747943878174,1.22300004959106,20.7077007293701,,,,5.86043739318848,,,,28.5762176513672,35.6251983642578,15.1
01434025,LTM_CAT,2011-08-15 14:50:00,Stream,Regular,Stream,,,25.8015480041504,76.7513427734375,,6.13129997253418,13.3699998855591,5.56209984806161,,18.2511501312256,27.1357822418213,9.52137470245361,2.73499989509582,21.9666996002197,,,,5.9168529510498,,,,29.687328338623,38.4916000366211,15.2
01434025,LTM_CAT,2011-08-15 03:50:00,Stream,Regular,Stream,,,41.6858291625977,98.9892654418945,,11.1493997573853,16.5100002288818,5.35620002829052,,5.03163862228394,34.8542404174805,14.754490852356,2.10700011253357,20.1895999908447,,,,6.02267932891846,,,,38.291145324707,52.937801361084,14.9
1C3-076,LTM_VT,2011-08-13 00:00:00,EPI,Regular,Lake,1.0,12:05,1.2,,,541.44,78.8,4.48,,,,,,0.0322,,5.46,5.27,,5.32,14.4,2.1,0.22,38.896,20.2
1C1-100,LTM_VT,2011-08-11 00:00:00,EPI,Regular,Lake,0.5,09:00,24.6,,,5.642,12.2,9.34,,,,,,0.193172941176471,,5.57,5.45,,5.52,21.4,1.2,2.44,37.6842,18.7
070859,LTM_ALTM,2011-08-11 00:00:00,EPI,Regular,Lake,0.5,1100,28.982,49.1298933,5.845215,5.36082,11.5713,3.143357,2.274048,3.0843136,21.0955475,21.0746625,0.5239732,0.0,,6.62,,6.525,,4.58,,2.120909,48.46608,
1C1-101,LTM_VT,2011-08-11 00:00:00,EPI,Regular,Lake,1.0,14:45,-1.6,,,4.68286,9.5,5.42,,,,,,0.0321954901960784,,5.29,5.17,,5.11,25.7,2.0,0.31,39.7662,21.6
1A2-066,LTM_ALTM,2011-08-11 00:00:00,EPI,Regular,Lake,0.0,1220,13.978,44.4622473,3.507041,5.71896,11.868,2.760165,1.531824,2.9815296,19.9414546,18.568845,1.575022,3.07671,,6.28,,6.1,,5.17,,2.384607,58.47712,
