SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
020138,LTM_ALTM,2003-03-10 00:00:00,EPI,Regular,Lake,0.5,1020,8.46,43.413,,5.358,16.73,9.019,1.0528,7.68,13.168,6.96,36.8964,1.932,,5.14,,4.953,,,,1.84,47.632,
020197,LTM_ALTM,2003-03-10 00:00:00,EPI,Regular,Lake,0.5,1330,4.99,18.463,,5.64,12.57,5.12,0.5264,4.864,9.053,3.915,42.6026,2.6082,,5.58,,5.121,,,,0.35,39.728,
1A1-029,LTM_ALTM,2003-03-10 00:00:00,EPI,Regular,Lake,0.0,1200,224.43,219.061,,9.87,39.9,5.119,2.31616,14.336,71.601,53.94,20.1102,5.2486,,7.53,,6.383,,,,7.63,96.304,
020188,LTM_ALTM,2003-03-10 00:00:00,EPI,Regular,Lake,0.5,1240,0.53,33.433,,5.076,12.28,2.285,0.73696,8.448,19.752,3.48,5.6508,2.7209,,5.34,,5.094,,,,0.14,52.832,
1A1-107,LTM_ALTM,2003-03-10 00:00:00,EPI,Regular,Lake,0.5,1110,-34.59,40.918,,11.562,27.42,18.624,0.89488,6.4,36.212,10.44,16.066,1.8837,,4.36,,4.337,,,,1.25,44.928,
01364959,LTM_CAT,2003-03-07 12:45:00,Stream,Regular,Stream,,,4.79269409179687,75.5199966430664,,14.5327997207642,18.6100006103516,0.84880001408075,,5.57999992370606,43.2599983215332,16.8999996185303,0.914116024971008,20.1854000091553,,,,5.86113882064819,,,,38.1500015258789,102.963798522949,0.1
1A2-077,LTM_ALTM,2003-03-06 00:00:00,EPI,Regular,Lake,0.0,1200,123.91,188.622,,9.024,30.69,3.312,0.73696,3.328,40.327,49.59,2.0498,5.5062,,7.2,,6.753,,,,7.07,111.072,
1A2-028,LTM_ALTM,2003-03-06 00:00:00,EPI,Regular,Lake,0.0,1000,191.56,256.985,,14.664,44.25,3.757,1.26336,5.888,88.061,50.025,5.5954,33.2626,,7.41,,6.713,,,,11.61,145.392,
1A1-052,LTM_ALTM,2003-03-06 00:00:00,EPI,Regular,Lake,0.0,1303,93.39,181.636,,13.254,31.68,4.167,5.89568,8.96,55.964,40.455,1.939,5.8443,,7.05,,6.366,,,,4.75,138.736,
1A1-087,LTM_ALTM,2003-03-06 00:00:00,IN,Regular,Lake,0.0,1200,106.12,235.528,,8.178,33.76,2.775,3.1584,6.656,42.796,15.225,4.7644,47.9136,,7.25,,6.347,,,,4.77,113.36,
060182,LTM_ALTM,2003-03-06 00:00:00,EPI,Regular,Lake,0.0,0923,101.69,214.071,,10.434,33.17,3.503,3.6848,6.912,35.389,33.06,1.8836,28.175,,7.24,,6.51,,,,7.77,125.424,
04253660,LTM_ALTM,2003-03-06 00:00:00,EPI,Regular,Stream,0.0,1115,46.09,151.696,,10.998,28.51,3.09,6.10624,7.68,46.911,27.84,5.9832,36.3216,,6.8,,6.329,,,,7.69,118.352,
1A1-102,LTM_ALTM,2003-03-06 00:00:00,EPI,Regular,Lake,0.0,1045,53.71,123.253,,8.742,20.79,2.652,1.10544,3.072,28.805,26.97,4.3212,8.6135,,6.9,,6.365,,,,3.14,92.768,
1A1-059,LTM_ALTM,2003-03-05 00:00:00,EPI,Regular,Lake,0.0,1245,83.99,154.191,,10.716,33.07,4.72,5.73776,9.216,74.07,52.635,1.8836,25.4541,,6.84,,6.248,,,,12.91,137.696,
