SITE_ID,PROGRAM_ID,DATE_SMP,SAMPLE_LOCATION,SAMPLE_TYPE,WATERBODY_TYPE,SAMPLE_DEPTH,TIME_SMP,ANC_UEQ_L,CA_UEQ_L,CHL_A_UG_L,CL_UEQ_L,COND_UM_CM,DOC_MG_L,F_UEQ_L,K_UEQ_L,MG_UEQ_L,NA_UEQ_L,NH4_UEQ_L,NO3_UEQ_L,N_TD_UEQ_L,PH_EQ,PH_FLD,PH_LAB,PH_STVL,P_TL_UEQ_L,SECCHI_M,SIO2_MG_L,SO4_UEQ_L,WTEMP_DEG_C
0143400680,LTM_CAT,1994-05-06 14:15:00,Stream,Regular,Stream,,,-15.0,47.2,,13.76,,1.24093202017776,,5.16,40.2,12.2,,10.48,,,,4.93,,,,35.16,113.24,7.5
01434025,LTM_CAT,1994-05-06 09:45:00,Stream,Regular,Stream,,,17.2,86.4,,13.1,,1.15661782368484,,4.57,40.2,13.9,,8.22,,,,6.04,,,,33.45,119.58,7.5
030255,LTM_ALTM,1994-05-05 00:00:00,EPI,Regular,Stream,0.0,1035,182.32,188.123,,8.178,34.92,3.11,2.31616,8.448,88.061,39.15,0.0554,16.1322,,7.44,,6.82,,,,10.37,107.12,
1A1-071,LTM_ALTM,1994-05-05 00:00:00,EPI,Regular,Lake,0.0,1020,187.42,188.123,,7.896,35.2,3.093,2.31616,8.448,87.238,39.15,-0.1108,16.8084,,7.53,,7.28,,,,9.26,107.12,
ME-4474,LTM_ME,1994-05-05 00:00:00,EPI,Regular,Lake,,,-35.0,13.5,,40.0,22.2,5.2,,5.4,14.0,34.8,,1.8,393.0,4.45,,4.4,4.44,13.0,,0.0,42.0,
1E1-060,LTM_ME,1994-05-05 00:00:00,EPI,Regular,Lake,,,89.2,131.2,,75.0,26.0,4.6,,8.4,36.2,63.5,,3.3,267.0,7.17,,6.86,6.17,6.0,,2.61,50.0,
ME-4778,LTM_ME,1994-05-05 00:00:00,EPI,Regular,Lake,,,9.2,24.0,,30.0,10.5,2.7,,5.9,14.0,37.8,,0.0,221.0,6.02,,5.8,5.55,10.0,,0.21,39.0,
1A1-106,LTM_ALTM,1994-05-04 00:00:00,EPI,Regular,Lake,0.0,1115,-1.19,81.836,,9.588,22.93,3.92,3.79008,7.936,23.044,20.88,2.6038,34.5667,,5.05,,5.019,,,,4.35,106.496,
040826,LTM_ALTM,1994-05-04 00:00:00,EPI,Regular,Lake,0.0,1420,8.66,89.321,,21.714,20.95,2.778,2.73728,5.632,25.513,26.97,1.108,24.1017,,5.74,,5.606,,,,2.68,101.712,
1A2-076,LTM_ALTM,1994-05-04 00:00:00,EPI,Regular,Lake,0.0,1150,3.72,48.902,,5.922,9.21,4.31,0.68432,4.864,8.23,3.045,-0.1108,3.9445,,5.67,,5.662,,,,-0.1,37.44,
04253639,LTM_ALTM,1994-05-04 00:00:00,EPI,Regular,Stream,0.0,1235,-9.52,61.876,,6.204,20.01,6.462,3.05312,7.68,19.752,15.225,2.6038,22.3629,,4.83,,4.86,,,,3.16,80.288,
1A1-059,LTM_ALTM,1994-05-04 00:00:00,EPI,Regular,Lake,0.0,1505,7.54,104.291,,7.614,24.73,7.083,3.948,7.424,37.035,21.75,0.1662,35.6132,,5.19,,5.155,,,,5.58,113.984,
1A1-112,LTM_ALTM,1994-05-04 00:00:00,IN,Regular,Lake,0.0,1220,-3.32,64.87,,7.05,19.06,5.04,3.21104,7.68,20.575,16.095,3.1024,26.5328,,5.09,,5.117,,,,3.32,80.288,
